,gender,new_location,mixed_attitude,economic_inflation,cost_of_living,income,redundancy,new_car,policy_war,good_mood,bad_mood,treatment/control
93,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
94,0,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
95,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
96,1,northwest,Slightly Positive,1,1,1,1,1,1,1,1,0
97,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
98,1,northwest,Slightly Negative,1,1,1,1,1,1,1,1,0
99,1,sunderland,Slightly Positive,1,1,1,1,1,1,1,1,0
100,0,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
101,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
102,0,other towns and places,Extremely Positive,1,1,1,1,1,1,1,1,0
103,1,northwest,Neutral,1,1,1,1,1,1,1,1,0
104,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
105,1,london,Neutral,1,1,1,1,1,1,1,1,0
106,1,east midland,Neutral,1,1,1,1,1,1,1,1,0
107,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
108,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
109,0,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
110,1,london,Neutral,1,1,1,1,1,1,1,1,0
111,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
112,1,london,Neutral,1,1,1,1,1,1,1,1,0
113,1,london,Slightly Negative,1,1,1,1,1,1,1,1,0
114,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
115,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
116,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
117,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
118,1,southwest,Extremely Negative,1,1,1,1,1,1,1,1,0
119,0,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
120,1,wales,Slightly Negative,1,1,1,1,1,1,1,1,0
121,1,london,Slightly Negative,1,1,1,1,1,1,1,1,0
122,1,london,Neutral,1,1,1,1,1,1,1,1,0
123,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
124,1,east midland,Slightly Negative,1,1,1,1,1,1,1,1,0
125,1,southwest,Neutral,1,1,1,1,1,1,1,1,0
126,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
127,1,east midland,Extremely Negative,1,1,1,1,1,1,1,1,0
128,0,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
129,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
130,1,other towns and places,Extremely Negative,1,1,1,1,1,1,1,1,0
131,1,sheffield,Slightly Negative,1,1,1,1,1,1,1,1,0
132,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
133,1,northwest,Neutral,1,1,1,1,1,1,1,1,0
134,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
135,0,london,Neutral,1,1,1,1,1,1,1,1,0
136,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
137,0,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
138,0,peterborough,Slightly Negative,1,1,1,1,1,1,1,1,0
139,1,yorkshire,Slightly Positive,1,1,1,1,1,1,1,1,0
140,0,yorkshire,Slightly Negative,1,1,1,1,1,1,1,1,0
141,1,other towns and places,Extremely Positive,1,1,1,1,1,1,1,1,0
142,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
143,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
144,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
145,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
146,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
147,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
148,1,yorkshire,Neutral,1,1,1,1,1,1,1,1,0
149,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
150,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
151,0,northwest,Neutral,1,1,1,1,1,1,1,1,0
152,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
153,1,west midland,Slightly Negative,1,1,1,1,1,1,1,1,0
154,0,east midland,Neutral,1,1,1,1,1,1,1,1,0
155,0,yorkshire,Neutral,1,1,1,1,1,1,1,1,0
156,0,southwest,Neutral,1,1,1,1,1,1,1,1,0
157,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
158,0,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
159,1,east midland,Slightly Positive,1,1,1,1,1,1,1,1,0
160,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
161,0,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
162,1,northeast,Extremely Positive,1,1,1,1,1,1,1,1,0
163,1,london,Neutral,1,1,1,1,1,1,1,1,0
164,0,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
165,0,northwest,Neutral,1,1,1,1,1,1,1,1,0
166,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
