,flair sentiment
705,0.765503608
706,-0.609193463
707,-0.992141612
708,0.797193709
709,-0.996037515
710,-0.676283358
711,0.822593023
712,-0.5495186
713,-0.631491551
714,-0.946840703
715,-0.832751163
716,0.723154013
717,0.861307375
718,0.956663137
719,-0.583609487
720,-0.752228804
721,-0.625901561
722,0.797124864
723,0.903736903
724,-0.965655844
725,-0.883280546
726,-0.997800209
727,0.766611759
728,0.987674376
729,0.592300106
730,-0.978087806
731,-0.655234033
732,-0.985254874
733,0.993396217
734,0.712744094
735,0.799314879
736,-0.896398584
737,0.87469561
738,0.996531537
739,-0.939531353
740,0.79689341
741,-0.843224802
742,0.97784914
743,-0.798889524
744,0.91469294
745,0.94343441
746,-0.648756497
747,0.995601193
748,0.995741567
749,-0.548889152
750,0.741515963
751,0.737323933
752,0.973770959
753,-0.582583891
754,-0.951660692
755,0.913318942
756,-0.918554927
757,0.931946739
758,-0.999708165
759,-0.998768999
760,0.761720599
761,0.971076729
762,0.876827986
763,0.988929756
764,0.936507617
765,-0.794255509
766,-0.805346854
767,-0.796754109
768,-0.999320243
769,-0.983354012
770,0.915971149
771,0.882919389
772,-0.981908725
773,0.676492399
774,-0.582005347
775,-0.844850043
776,0.79654322
777,0.542812174
778,0.982603681
779,0.666375686
780,0.664876335
781,-0.568556492
782,-0.7850478
783,-0.771601746
784,0.999162703
785,0.70743515
786,0.970669078
787,-0.990008878
788,0.673739516
789,0.895180279
790,-0.823169839
791,0.959165015
792,-0.738723144
793,0.923896357
794,-0.820925224
795,-0.997212664
796,-0.792380039
797,0.985491335
798,0.977907376
799,0.885641395
800,-0.999570652
801,-0.944152613
802,-0.724307644
803,0.980497354
804,-0.991371014
805,-0.996565513
806,0.504726495
807,0.881126116
808,-0.816322919
809,-0.868355766
810,-0.696124988
811,-0.906926525
812,-0.728573587
813,-0.980695964
814,-0.500281315
815,-0.876756219
816,-0.989055228
817,0.985244801
818,-0.791002286
819,-0.965680998
820,-0.964858602
821,0.768452061
822,0.748212972
823,0.506051139
824,0.943371584
825,-0.96710733
826,-0.800727323
827,-0.805269901
828,-0.58476121
829,0.521698116
830,0.976011938
831,-0.602109367
832,0.741497664
833,0.998129179
834,0.681561902
835,-0.978522519
836,-0.995908347
837,0.972771352
838,0.62418846
839,-0.922136047
840,0.809148519
841,-0.999362862
842,0.721797719
843,0.851030796
844,0.906503018
845,-0.938083443
846,0.871800684
847,-0.610343219
848,0.795632666
849,0.758685538
850,-0.952669061
851,-0.766613189
852,-0.888541566
853,-0.993798563
854,0.987764323
855,0.687081735
856,-0.740559929
857,-0.785667056
858,0.959426093
859,-0.980062224
860,0.937912789
861,-0.971109096
862,-0.917457684
863,-0.993825624
864,0.997902316
865,-0.847458975
866,0.996920591
867,0.975790141
868,0.74268384
869,-0.869683926
870,-0.548987265
871,-0.770079209
872,0.502637693
873,-0.980464629
874,-0.985139356
875,-0.540807893
876,0.977809085
877,0.957523979
878,-0.648223075
879,0.761085846
880,0.993389779
881,0.84099181
882,0.903756752
883,0.557483864
884,-0.947342414
885,0.972896586
886,-0.974485049
887,0.944386391
888,0.540737319
889,-0.951141874
890,-0.986514784
891,-0.506433218
892,-0.583415884
893,-0.913094582
894,-0.980559404
895,-0.959378885
896,-0.865525692
897,-0.963261139
898,-0.987795914
899,0.65539676
900,-0.791727463
901,0.84529924
902,0.789293537
903,0.915087358
904,-0.993068796
905,-0.813317541
906,0.60361605
907,-0.662005252
908,0.957178319
909,0.745996431
910,0.994501328
911,-0.98478559
912,-0.707485935
913,-0.981910572
914,-0.628397181
915,-0.901136971
916,0.703290328
917,-0.909861864
918,0.984963039
919,-0.999632107
920,0.58835902
921,0.503475705
922,-0.996379539
923,0.989452985
924,0.615374395
925,-0.989580424
926,-0.534191175
927,0.928346127
928,-0.682681855
929,0.557900337
930,-0.949381206
931,0.996904557
932,-0.540738153
933,-0.980656206
934,-0.993780442
935,-0.958087264
936,-0.855189685
937,0.563290942
938,-0.836480406
939,-0.800661219
940,0.869073373
941,-0.93704539
942,-0.999584481
943,0.642434058
944,0.648552284
945,0.902761973
946,-0.588828961
947,0.694821863
948,0.991695037
949,0.791361179
950,-0.526047032
951,-0.999078776
952,0.815569906
953,-0.500668282
954,0.55480847
955,-0.957463836
956,0.920217541
957,0.960552424
958,0.941203742
959,0.689146874
960,0.997946365
961,0.996597939
962,-0.529845955
963,-0.605435132
964,0.75508129
965,-0.909259656
966,0.998777344
967,-0.586126148
968,0.939305145
969,-0.868838462
970,0.530572861
971,-0.781272481
972,-0.964210378
973,0.656187325
974,-0.850064688
975,-0.690828085
976,0.995575622
977,-0.598126795
978,-0.793653122
979,0.722925302
980,-0.680742129
981,-0.846937534
982,0.711046848
983,-0.978546839
984,0.992712705
985,-0.712883812
986,0.997464623
987,0.56924811
988,-0.641412158
989,-0.976623981
990,-0.931899411
991,-0.552053918
992,-0.992882584
993,0.880070181
994,0.997313698
995,0.544070832
996,0.934201308
997,-0.550983677
998,0.878751916
999,-0.83394634
1000,-0.992456515
1001,-0.756783364
1002,-0.923455624
1003,-0.90525801
1004,0.977271133
1005,-0.995762728
1006,0.637581464
1007,0.501506593
1008,0.996549777
1009,-0.969233566
1010,0.791708627
1011,-0.99288026
1012,-0.909729418
1013,0.986736582
1014,-0.728380223
1015,-0.978728699
1016,0.557585732
1017,-0.866153233
1018,-0.979936155
1019,0.957793342
1020,-0.713155202
1021,-0.881694825
1022,-0.910508241
1023,-0.819330681
1024,0.963898753
1025,-0.913396729
1026,-0.963229726
1027,-0.941463986
1028,0.920661851
1029,0.649274659
1030,0.836388254
1031,0.771126441
1032,-0.972641767
1033,0.994949154
1034,-0.991037693
1035,-0.691317517
1036,0.977623409
1037,0.999185949
1038,-0.621503112
1039,0.983962777
1040,-0.753155155
1041,-0.781768649
1042,0.62797421
1043,-0.993476745
1044,0.957830954
1045,-0.999644266
1046,-0.682785154
1047,0.575893618
1048,-0.957871725
1049,-0.801424902
1050,-0.999204547
1051,-0.944320823
1052,-0.915070072
1053,-0.862726137
1054,-0.972237275
1055,-0.945142682
1056,0.97531263
1057,-0.937265875
1058,-0.929415117
1059,0.703710675
1060,-0.999584004
1061,0.685708334
1062,0.500246862
1063,0.780213625
1064,-0.692254894
1065,0.61422136
1066,-0.938685472
1067,-0.707108683
1068,-0.600359727
1069,0.56109288
1070,0.958692571
1071,0.719757853
1072,-0.718490433
1073,0.981681444
1074,0.96578984
1075,0.987751388
1076,-0.98780265
1077,0.971563121
1078,0.900769077
1079,0.999861056
1080,-0.897667614
1081,-0.936092097
1082,-0.915704051
1083,0.532642291
1084,0.518765995
1085,-0.990833182
1086,0.916316213
1087,-0.962424854
1088,-0.977518382
1089,0.922455182
1090,0.930301471
1091,-0.992127604
1092,0.623866702
1093,-0.73138864
1094,-0.54165592
1095,0.679534614
1096,0.699454568
1097,-0.898785242
1098,-0.854100966
1099,-0.723546047
1100,-0.901642258
1101,0.876063051
1102,-0.844635756
1103,0.98614862
1104,0.87386785
1105,0.959555559
1106,-0.979173128
1107,-0.755424685
1108,-0.985969799
1109,-0.994410904
1110,-0.965449783
1111,-0.946468279
1112,0.993080718
1113,0.854268462
1114,-0.986034294
1115,-0.74239582
1116,-0.828381981
1117,0.707300617
1118,0.996152437
1119,0.996893529
1120,-0.530008622
1121,0.987583714
1122,0.937249722
1123,-0.514140682
1124,-0.764346579
1125,-0.994060595
1126,-0.947586325
1127,-0.848251329
1128,-0.966121194
1129,0.671765099
1130,-0.740093028
1131,0.93350969
1132,0.740532391
1133,0.990882596
1134,0.846025311
1135,-0.778539149
1136,-0.885255739
1137,-0.955796334
1138,-0.92651125
1139,0.848001338
1140,-0.995214583
1141,0.945133503
1142,0.790547665
1143,-0.575636773
1144,-0.70737292
1145,-0.893854861
1146,0.987470282
1147,-0.916239976
1148,0.698787209
1149,-0.998194866
1150,-0.674919613
1151,-0.518039566
1152,0.876248786
1153,-0.843624466
1154,-0.697739082
1155,0.5805479
1156,-0.924904487
1157,0.980502063
1158,0.993904186
1159,-0.987592834
1160,0.86978943
1161,-0.966483843
1162,0.689465353
1163,0.889233602
1164,0.76316839
1165,0.616417634
1166,0.735464258
1167,0.967374011
1168,-0.562136834
1169,-0.731724703
1170,-0.918882467
1171,-0.995837534
1172,0.601074294
1173,-0.947441838
1174,-0.990353466
1175,-0.856435707
1176,-0.696906196
1177,-0.6655124
1178,-0.527246739
1179,-0.775747403
1180,-0.999752691
1181,0.948931055
1182,-0.943267987
1183,0.992908871
1184,0.851883115
1185,-0.958278661
1186,-0.992536149
1187,-0.727188324
1188,-0.971655869
1189,-0.6515306
1190,-0.612063592
1191,0.528851474
1192,-0.953654064
1193,-0.949007054
1194,0.883044801
1195,0.864455928
1196,-0.671261898
1197,0.845507566
1198,0.969204538
1199,-0.975440666
1200,0.553989233
1201,-0.94190001
1202,0.699891963
1203,-0.975333254
1204,0.801461798
1205,-0.826187137
1206,0.598212033
1207,0.995018059
1208,0.543495864
1209,-0.801614034
1210,-0.586203637
1211,-0.872568003
1212,-0.967939144
1213,-0.978884929
1214,-0.98295554
1215,-0.730188575
1216,0.986974413
1217,-0.955131897
1218,-0.770960615
1219,-0.996442961
1220,-0.601016774
1221,0.879267634
1222,0.992896413
1223,-0.83010599
1224,-0.992435771
1225,-0.807773687
1226,-0.916167434
1227,-0.945218264
1228,0.873617561
1229,0.907092291
1230,0.999220462
1231,0.988108195
1232,-0.643840303
1233,-0.724251792
1234,0.780264529
1235,0.594526661
1236,-0.99151574
1237,0.964052717
1238,0.578778113
1239,0.945200143
1240,-0.821528028
1241,0.868859682
1242,0.58533129
1243,0.949810078
1244,-0.98423816
1245,0.973447055
1246,-0.650355689
1247,-0.972221419
1248,-0.552431289
1249,0.987412583
1250,-0.590778641
1251,-0.523421886
1252,-0.867479843
1253,0.909142648
1254,0.552838881
1255,-0.89491485
1256,-0.940527264
1257,-0.609962868
1258,0.918304877
1259,0.568625219
1260,-0.962987483
1261,-0.873189107
1262,0.608287915
1263,-0.652040179
1264,0.699759278
1265,0.652470659
1266,-0.58213386
1267,-0.638739685
1268,-0.884567339
1269,-0.810291302
1270,-0.994221175
1271,0.940910596
1272,0.789894731
1273,-0.651103397
1274,-0.787273699
1275,-0.521689354
1276,0.987395297
1277,0.659455688
1278,0.981275998
1279,-0.951407362
1280,0.958772027
1281,0.815819718
1282,-0.987308986
1283,0.708188283
1284,-0.909872355
1285,-0.716369621
1286,0.856716634
1287,0.858600628
1288,0.627140191
1289,0.88041596
1290,0.515504666
1291,0.972913157
1292,0.702201311
1293,-0.952726164
1294,-0.911989531
1295,0.845727217
1296,-0.593377977
1297,-0.98986308
1298,-0.925448102
1299,-0.750791087
1300,-0.90643292
1301,-0.989632104
1302,0.950372468
1303,0.908822619
1304,-0.671730944
1305,-0.887038341
1306,0.545919598
1307,0.998978339
1308,-0.771153801
1309,0.931200878
1310,-0.885516996
1311,-0.979024468
1312,0.56169771
1313,0.821538161
1314,-0.969198279
1315,0.972393206
1316,-0.984269335
1317,-0.781915281
1318,-0.970087136
1319,-0.930227498
1320,-0.816221587
1321,-0.843719479
1322,0.990149193
1323,0.832704014
1324,-0.939232305
1325,0.912201314
1326,-0.773741513
1327,0.653574995
1328,0.630534802
1329,-0.976934294
1330,-0.854769874
1331,-0.817953584
1332,0.765766236
1333,0.987873284
1334,0.991095392
1335,0.798115172
1336,0.98166386
1337,0.99170827
1338,-0.832096143
1339,-0.549582201
1340,0.964836607
1341,-0.994395943
1342,-0.958844092
1343,0.866953276
1344,0.819619833
1345,-0.899136565
1346,-0.982017507
1347,-0.753957165
1348,-0.906089645
1349,-0.999277148
1350,-0.553337969
1351,0.822617104
1352,-0.607318827
1353,0.785355491
1354,0.763080768
1355,0.965658407
1356,-0.672374102
1357,-0.911378978
1358,0.67299914
1359,0.700330907
1360,-0.997320434
1361,-0.909408912
1362,0.536434718
1363,0.999295685
1364,0.824328
1365,0.996850672
1366,-0.959057187
1367,-0.987737977
1368,-0.717603125
1369,0.930787803
1370,-0.991425972
1371,-0.802525125
1372,-0.917798397
1373,-0.974092061
1374,0.516471906
1375,0.983448787
1376,-0.95341814
1377,0.7898176
1378,0.63484086
1379,0.627545637
1380,-0.988618847
1381,-0.547226657
1382,-0.981629765
1383,0.815516081
1384,-0.542859621
1385,-0.806858007
1386,-0.957436059
1387,-0.838653493
1388,0.948753189
1389,0.995592312
1390,0.834300643
1391,-0.988363491
1392,0.714283798
1393,-0.712049555
1394,-0.787713776
1395,-0.864775063
1396,-0.598023735
1397,-0.917047589
1398,-0.596011169
1399,-0.818763462
1400,0.963572704
1401,-0.671967941
1402,0.84373909
1403,0.741205411
1404,-0.986371192
1405,-0.950061201
1406,0.760717178
1407,0.834814395
1408,0.636674665
1409,-0.99845803
1410,-0.999028408
1411,0.984082408
1412,0.878654042
1413,0.994287399
1414,0.819952857
1415,-0.975336771
1416,-0.943802363
1417,0.779235
1418,0.979193513
1419,0.921204571
1420,0.983391385
1421,-0.882859961
1422,-0.950263626
1423,0.818427637
1424,0.611291922
1425,0.522882563
1426,-0.795567396
1427,0.991040137
1428,0.735794957
1429,-0.955500505
1430,-0.708575071
1431,-0.515545079
1432,0.952274165
1433,0.959242087
1434,-0.759913379
1435,0.836841266
1436,0.574907304
1437,0.792579901
1438,-0.701177384
1439,-0.80277756
1440,0.616026613
1441,-0.607546287
1442,0.72926914
1443,-0.509231104
1444,-0.941849285
1445,0.997683141
1446,-0.829812605
1447,0.66764251
1448,-0.503113832
1449,0.880163227
1450,-0.983127446
1451,0.811307122
1452,-0.558111762
1453,-0.992053036
1454,-0.667054071
1455,0.680449817
1456,-0.836667989
1457,-0.62533476
1458,0.892970534
1459,-0.891174222
1460,-0.767414663
1461,0.736314729
1462,-0.999609039
1463,-0.977817728
1464,-0.596167041
1465,-0.956128821
1466,0.503219396
1467,0.623820447
1468,-0.821737009
1469,0.88809678
1470,-0.853120195
1471,0.924962485
1472,0.898471233
1473,-0.602456041
1474,-0.753170414
1475,0.86880842
1476,0.750451805
1477,-0.793953719
1478,-0.893698751
1479,-0.990710451
1480,0.984183382
1481,-0.711532823
1482,0.803135201
1483,0.976785277
1484,-0.997621687
1485,-0.936447712
1486,0.781996883
1487,-0.860628989
1488,-0.605694362
1489,-0.998550242
1490,-0.855135145
1491,-0.957841743
1492,0.531783118
1493,-0.999572798
1494,-0.980098524
1495,0.996744572
1496,0.666116754
1497,-0.703995537
1498,0.996613735
1499,0.998009131
1500,-0.89471326
1501,0.628240117
1502,-0.957025785
1503,0.844570486
1504,-0.823240532
1505,0.998830812
1506,-0.538984877
1507,-0.878707568
1508,0.760679089
1509,0.520158173
1510,-0.908235074
1511,-0.803110643
1512,0.931310257
1513,0.925666442
1514,0.852459572
1515,-0.998594351
1516,0.99508166
1517,0.619212957
1518,0.963130242
1519,0.84131631
1520,-0.985563101
1521,0.982213673
1522,-0.73051224
1523,0.550544673
1524,0.990083864
1525,-0.722701716
1526,-0.860711903
1527,0.714006567
1528,-0.922917195
1529,0.70546115
1530,-0.909502018
1531,-0.982609105
1532,0.948677786
1533,0.889970402
1534,0.60688781
1535,-0.546763572
1536,-0.93213307
1537,0.863248114
1538,-0.738832105
1539,0.746144435
1540,0.870064575
1541,-0.744431096
1542,-0.924838503
1543,0.972815938
1544,-0.777509679
1545,-0.810617351
1546,-0.857701339
1547,-0.992930866
1548,0.660138902
1549,-0.996430444
1550,-0.996920174
1551,0.86134749
1552,-0.787925261
1553,0.656268033
1554,0.796028694
1555,-0.867738895
1556,0.994003372
1557,-0.628915343
1558,0.995402702
1559,-0.918130169
1560,-0.959621008
1561,0.979958031
1562,-0.955694824
1563,-0.972393623
1564,-0.844896417
1565,-0.936230385
1566,0.997383855
